Year,Anomaly
190010,-1.86
190011,-2.54
190012,-5.78
190101,2.21
190102,-1.15
190103,-1.77
190104,-0.29
190105,-1.35
190106,1.15
190107,-0.56
190108,-0.46
190109,-0.07
190110,-1.59
190111,-5.12
190112,-5.8
190201,-2.46
190202,-0.47
190203,-0.81
190204,-0.33
190205,-1.36
190206,-2.87
190207,-2.88
190208,-0.3
190209,-1.07
190210,-1.31
190211,0.96
190212,4.18
190301,3.43
190302,2.42
190303,3.76
190304,-0.18
190305,1.26
190306,-0.32
190307,-1.84
190308,-0.16
190309,-2.64
190310,-3.36
190311,-3.08
190312,-2.05
190401,1.67
190402,1.71
190403,-0.46
190404,-2.75
190405,0.37
190406,2.32
190407,1.31
190408,0.8
190409,-0.49
190410,0.25
190411,-8.77
190412,-5.46
190501,-2.26
190502,2.55
190503,-4
190504,-3.58
190505,-1.85
190506,-1.65
190507,-1.7
190508,-0.42
190509,-0.76
190510,-0.18
190511,-3.07
190512,0.43
190601,1.26
190602,0.02
190603,-1.14
190604,-4.22
190605,-3.61
190606,-4.75
190607,-2.03
190608,-3.49
190609,-4.08
190610,-2.28
190611,-3.18
190612,-6.71
190701,2.8
190702,3.44
190703,2.48
190704,-0.59
190705,-3.62
190706,-0.36
190707,-3.23
190708,-0.98
190709,-4.65
190710,-4.4
190711,0.54
190712,2.92
190801,1.73
190802,-3.29
190803,2.5
190804,-4.03
190805,-4.49
190806,-0.38
190807,-3.89
190808,-0.28
190809,-1.53
190810,-0.76
190811,-5.71
190812,0.08
190901,7.54
190902,1.32
190903,-4.03
190904,-4.25
190905,-3.51
190906,-2.08
190907,-0.27
190908,-0.85
190909,-3.22
190910,-4.93
190911,-5.63
190912,-1.06
191001,2.88
191002,-1.24
191003,0.98
191004,-2.91
191005,-1.79
191006,-1.35
191007,-2.76
191008,-2.76
191009,-4.42
191010,-2.42
191011,-2.99
191012,-1.3
191101,-4.63
191102,-1.97
191103,-0.74
191104,-3.81
191105,-1.2
191106,-3.93
191107,-0.73
191108,-3.94
191109,-3.1
191110,-3.7
191111,1.52
191112,1.71
191201,-2.48
191202,-4.51
191203,-0.22
191204,-7.71
191205,-3.91
191206,-2.52
191207,-2.65
191208,-0.17
191209,-2.68
191210,-1.39
191211,-1.74
191212,-2.54
191301,0.7
191302,-1.2
191303,0.47
191304,-1.44
191305,-2.01
191306,-2.91
191307,-0.4
191308,0.31
191309,-1.98
191310,-3.36
191311,-1.83
191312,-2.38
191401,-1.95
191402,-3.7
191403,-0.28
191404,-2.92
191405,-2.73
191406,-2.11
191407,-3.17
191408,-1.52
191409,-2
191410,-2.28
191411,-2.81
191412,-2.31
191501,-2.52
191502,-2.26
191503,-5.31
191504,-1.83
191505,-5.77
191506,-2.2
191507,-1.21
191508,-0.68
191509,-3.97
191510,-0.28
191511,-6.22
191512,-5.78
191601,-3.83
191602,-0.43
191603,-4.41
191604,-3.45
191605,-2.49
191606,0.67
191607,-0.16
191608,-2.07
191609,-0.63
191610,-1.13
191611,-2.14
191612,-3.17
191701,-4.98
191702,-5.96
191703,-4.59
191704,-5.57
191705,-5.59
191706,-1.61
191707,-1.48
191708,-2.65
191709,-3.79
191710,-1.01
191711,-5.26
191712,-0.11
191801,-10.24
191802,-3.64
191803,0.07
191804,-2.4
191805,-2.38
191806,-1.41
191807,-0.57
191808,-0.99
191809,-0.86
191810,-1.79
191811,0.15
191812,-1.41
191901,3.17
191902,-2.85
191903,-3.85
191904,-5.05
191905,1.05
191906,0.96
191907,0.15
191908,0.01
191909,-1.7
191910,-0.89
191911,-3.51
191912,-1.58
192001,-3.16
192002,-0.35
192003,3.24
192004,-3.06
192005,-2.47
192006,-0.62
192007,-0.11
192008,1.47
192009,0.63
192010,1.35
192011,-0.2
192012,0.22
192101,-3.3
192102,-1.23
192103,-0.36
192104,-1.09
192105,-0.96
192106,-1.68
192107,0.01
192108,-0.08
192109,-1.57
192110,-1.6
192111,-1.67
192112,-0.79
192201,2.89
192202,0.46
192203,0.33
192204,-3.35
192205,-1.85
192206,1.78
192207,2.44
192208,3.05
192209,-0.04
192210,-0.53
192211,-1.73
192212,-0.22
192301,-1.45
192302,-0.65
192303,-1.51
192304,-1.77
192305,-1.64
192306,0.05
192307,-0.62
192308,-1.37
192309,-0.41
192310,-0.34
192311,0.48
192312,0.11
192401,1.53
192402,-2.92
192403,-2.23
192404,-4.25
192405,-1.92
192406,-2.48
192407,2.15
192408,0.21
192409,-1.15
192410,0.2
192411,-2.26
192412,0.07
192501,-1.28
192502,0.64
192503,0.51
192504,-1.86
192505,-2.67
192506,-0.82
192507,-1.67
192508,0.51
192509,-0.64
192510,-4.88
192511,-5.15
192512,-3.65
192601,-4.95
192602,-4.2
192603,-3.75
192604,-2.65
192605,-3.02
192606,-2.8
192607,-2.2
192608,-1.79
192609,-3.09
192610,-2.84
192611,-1.83
192612,-2.4
192701,-0.44
192702,0.53
192703,-0.52
192704,-3.64
192705,-2.28
192706,-2.39
192707,0.32
192708,-0.18
192709,-2.13
192710,-2.51
192711,-2.64
192712,-0.86
192801,1.49
192802,0.07
192803,0.54
192804,-1.04
192805,-1.6
192806,-1.02
192807,-0.22
192808,-0.56
192809,0.51
192810,-1.64
192811,-0.88
192812,-3.18
192901,-1.89
192902,3.26
192903,-3.73
192904,-4.04
192905,-1.31
192906,-1
192907,1.22
192908,-0.89
192909,0.07
192910,-0.79
192911,-2.21
192912,6.6
193001,3.95
193002,3.33
193003,-0.09
193004,-0.17
193005,0.53
193006,1.67
193007,0.82
193008,0.16
193009,-0.83
193010,-1.57
193011,-2.17
193012,2.09
193101,-2.27
193102,4.46
193103,1.2
193104,1.22
193105,-0.99
193106,-2.26
193107,0.06
193108,0.77
193109,-1.6
193110,-1.41
193111,2.06
193112,0.49
193201,-3.25
193202,4.81
193203,0.85
193204,-2.71
193205,-1.82
193206,-0.51
193207,-0.47
193208,0.24
193209,-2.17
193210,-1.43
193211,-1.1
193212,2.99
193301,5.53
193302,0.94
193303,1.79
193304,-3.02
193305,-0.48
193306,0.53
193307,-0.74
193308,0.65
193309,-0.5
193310,-2.02
193311,-2.93
193312,3.32
193401,0.34
193402,-4.98
193403,1.84
193404,-3.01
193405,-0.08
193406,-0.48
193407,0.55
193408,0.66
193409,2.78
193410,0.28
193411,0.09
193412,2.96
193501,0.16
193502,-4.34
193503,1.49
193504,-1.08
193505,-3.27
193506,-0.8
193507,-1.71
193508,-1.17
193509,-1.97
193510,0.23
193511,2.07
193512,0.14
193601,0.23
193602,-1.99
193603,-3.08
193604,-1.88
193605,-0.75
193606,0.01
193607,-1.41
193608,1.12
193609,-1.75
193610,0.39
193611,2.93
193612,0
193701,6.53
193702,-3.66
193703,-0.36
193704,0.99
193705,0.16
193706,-0.77
193707,0.59
193708,0.32
193709,-0.81
193710,-0.37
193711,1.13
193712,4.12
193801,-1.22
193802,5.49
193803,-2.25
193804,-1.8
193805,-2.01
193806,0.25
193807,0.11
193808,-0.2
193809,-0.82
193810,2.43
193811,0.82
193812,4.92
193901,-1.4
193902,-2.02
193903,0.18
193904,-0.83
193905,-0.69
193906,-3.28
193907,-0.06
193908,0.29
193909,-2.38
193910,-0.67
193911,-4.11
193912,-2.03
194001,1.61
194002,-5.28
194003,-3.29
194004,-5.07
194005,0.43
194006,-2.06
194007,-1.6
194008,-0.1
194009,1.36
194010,0.27
194011,-2.24
194012,2.56
194101,-2.58
194102,-4.62
194103,-0.24
194104,-2.4
194105,-0.91
194106,-1.46
194107,0.72
194108,-0.81
194109,-1.25
194110,-3.2
194111,1.42
194112,-1.63
194201,5.19
194202,1.49
194203,-1.74
194204,-2.98
194205,-1.67
194206,-0.27
194207,-0.33
194208,0.96
194209,-0.65
194210,1.08
194211,-1.04
194212,-0.1
194301,-2.5
194302,-2.78
194303,-1.04
194304,-3.66
194305,-1.51
194306,-0.81
194307,-0.56
194308,-0.65
194309,-1.59
194310,1.07
194311,-3.23
194312,-0.41
194401,-2.83
194402,-1.77
194403,0.6
194404,-5.05
194405,-2.43
194406,-0.8
194407,-1.83
194408,-2.35
194409,-1.71
194410,1.19
194411,-1.89
194412,2.66
194501,-1.73
194502,1.28
194503,-0.31
194504,0.27
194505,-3.62
194506,-3.12
194507,-0.66
194508,-2.72
194509,-1.49
194510,-2.63
194511,-3.58
194512,-0.39
194601,1.34
194602,-5.26
194603,0.3
194604,-3.17
194605,-3.1
194606,-0.82
194607,0.38
194608,-1.15
194609,-0.07
194610,-0.52
194611,-2.81
194612,3.04
194701,6.17
194702,-2.95
194703,-4.21
194704,-4.27
194705,-1.49
194706,-1.52
194707,0.85
194708,-1.36
194709,-2.03
194710,-0.71
194711,-3.02
194712,-2.64
194801,-5.45
194802,-1.6
194803,-0.74
194804,-4.1
194805,-4.22
194806,-2.16
194807,-0.04
194808,-1.78
194809,-1.49
194810,-1.4
